MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,7.0,,
,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
December,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
January,JAPAN,Japan,Volcano,Definite Tsunami,,,
August,UK,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
February,ICELAND,Northeast Atlantic Ocean,Volcano,Very Doubtful Tsunami,,,
May,SPAIN,Northeast Atlantic Ocean,Volcano,Probable Tsunami,,,
June,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan",Landslide,Very Doubtful Tsunami,,,
September,GREECE,Mediterranean Sea,Volcano and Landslide,Definite Tsunami,6.3,,6.0
April,ITALY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3.0
,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,1.0
,GREECE,Mediterranean Sea,Volcano,Definite Tsunami,6.2,,3.0
November,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,2.0
April,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.1,,4.0
,DEAD SEA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,3.0
,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,
March,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,
,SYRIA,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,6.0
October,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.0,,0.5
October,UK,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
November,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,2.0
February,TURKEY,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.8,,
April,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
March,PORTUGAL,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
July,UK,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
April,GERMANY,Northeast Atlantic Ocean,Earthquake,Very Doubtful Tsunami,,,
September,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,3.0
